service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
"+10570003[20190902-]",0,0,0,0,0,0,1,20190908,20200628,"2019-09-08 → 2020-06-28 (2 Mo, Th, 2 Fr, 17 Su)"
"+10570004[20190902-]",0,0,0,0,0,1,0,20190907,20200627,2019-09-07 → 2020-06-27 (17 Sa)
"+10570005[20190902-]",1,1,1,1,1,0,0,20190902,20200703,"2019-09-02 → 2020-07-03 (15 Mo, 17 Tu, 17 We, 16 Th, 15 Fr)"
"+10570010[20190902-]",0,0,0,0,0,1,0,20190907,20200627,2019-09-07 → 2020-06-27 (43 Sa)
"+10570011[20190902-]",0,0,0,0,0,0,1,20190908,20200628,"2019-09-08 → 2020-06-28 (3 Mo, 2 We, Th, 3 Fr, 43 Su)"
"+10570013[20190902-]",1,1,1,1,1,0,0,20190902,20200703,"2019-09-02 → 2020-07-03 (41 Mo, 44 Tu, 42 We, 43 Th, 41 Fr)"
11219091,1,1,1,1,1,0,0,20200706,20200828,ETE (MTWTF---)
11219092,0,0,0,0,0,1,0,20200704,20200829,ETE (-----s--)
11219093,0,0,0,0,0,0,1,20200705,20200830,ETE (------SB)
11474079,0,0,0,0,0,1,1,20200704,20200830,ETE (-----sSB)
14011032,1,1,1,1,1,0,0,20200831,20210705,HIVER (MTWTF---)
14011044,0,0,0,0,0,1,0,20200905,20210703,HIVER (-----s--)
14011047,0,0,0,0,0,0,1,20200906,20210704,HIVER (------SB)
