service_id,date,exception_type
"+10570003[20190902-]",20200413,1
"+10570003[20190902-]",20200501,1
"+10570003[20190902-]",20200508,1
"+10570003[20190902-]",20200521,1
"+10570003[20190902-]",20200601,1
"+10570003[20190902-]",20191006,2
"+10570003[20190902-]",20191013,2
"+10570003[20190902-]",20191020,2
"+10570003[20190902-]",20191027,2
"+10570003[20190902-]",20191103,2
"+10570003[20190902-]",20191110,2
"+10570003[20190902-]",20191117,2
"+10570003[20190902-]",20191124,2
"+10570003[20190902-]",20191201,2
"+10570003[20190902-]",20191208,2
"+10570003[20190902-]",20191215,2
"+10570003[20190902-]",20191222,2
"+10570003[20190902-]",20191229,2
"+10570003[20190902-]",20200105,2
"+10570003[20190902-]",20200112,2
"+10570003[20190902-]",20200119,2
"+10570003[20190902-]",20200126,2
"+10570003[20190902-]",20200202,2
"+10570003[20190902-]",20200209,2
"+10570003[20190902-]",20200216,2
"+10570003[20190902-]",20200223,2
"+10570003[20190902-]",20200301,2
"+10570003[20190902-]",20200308,2
"+10570003[20190902-]",20200315,2
"+10570003[20190902-]",20200322,2
"+10570003[20190902-]",20200329,2
"+10570004[20190902-]",20191005,2
"+10570004[20190902-]",20191012,2
"+10570004[20190902-]",20191019,2
"+10570004[20190902-]",20191026,2
"+10570004[20190902-]",20191102,2
"+10570004[20190902-]",20191109,2
"+10570004[20190902-]",20191116,2
"+10570004[20190902-]",20191123,2
"+10570004[20190902-]",20191130,2
"+10570004[20190902-]",20191207,2
"+10570004[20190902-]",20191214,2
"+10570004[20190902-]",20191221,2
"+10570004[20190902-]",20191228,2
"+10570004[20190902-]",20200104,2
"+10570004[20190902-]",20200111,2
"+10570004[20190902-]",20200118,2
"+10570004[20190902-]",20200125,2
"+10570004[20190902-]",20200201,2
"+10570004[20190902-]",20200208,2
"+10570004[20190902-]",20200215,2
"+10570004[20190902-]",20200222,2
"+10570004[20190902-]",20200229,2
"+10570004[20190902-]",20200307,2
"+10570004[20190902-]",20200314,2
"+10570004[20190902-]",20200321,2
"+10570004[20190902-]",20200328,2
"+10570005[20190902-]",20190930,2
"+10570005[20190902-]",20191001,2
"+10570005[20190902-]",20191002,2
"+10570005[20190902-]",20191003,2
"+10570005[20190902-]",20191004,2
"+10570005[20190902-]",20191007,2
"+10570005[20190902-]",20191008,2
"+10570005[20190902-]",20191009,2
"+10570005[20190902-]",20191010,2
"+10570005[20190902-]",20191011,2
"+10570005[20190902-]",20191014,2
"+10570005[20190902-]",20191015,2
"+10570005[20190902-]",20191016,2
"+10570005[20190902-]",20191017,2
"+10570005[20190902-]",20191018,2
"+10570005[20190902-]",20191021,2
"+10570005[20190902-]",20191022,2
"+10570005[20190902-]",20191023,2
"+10570005[20190902-]",20191024,2
"+10570005[20190902-]",20191025,2
"+10570005[20190902-]",20191028,2
"+10570005[20190902-]",20191029,2
"+10570005[20190902-]",20191030,2
"+10570005[20190902-]",20191031,2
"+10570005[20190902-]",20191101,2
"+10570005[20190902-]",20191104,2
"+10570005[20190902-]",20191105,2
"+10570005[20190902-]",20191106,2
"+10570005[20190902-]",20191107,2
"+10570005[20190902-]",20191108,2
"+10570005[20190902-]",20191111,2
"+10570005[20190902-]",20191112,2
"+10570005[20190902-]",20191113,2
"+10570005[20190902-]",20191114,2
"+10570005[20190902-]",20191115,2
"+10570005[20190902-]",20191118,2
"+10570005[20190902-]",20191119,2
"+10570005[20190902-]",20191120,2
"+10570005[20190902-]",20191121,2
"+10570005[20190902-]",20191122,2
"+10570005[20190902-]",20191125,2
"+10570005[20190902-]",20191126,2
"+10570005[20190902-]",20191127,2
"+10570005[20190902-]",20191128,2
"+10570005[20190902-]",20191129,2
"+10570005[20190902-]",20191202,2
"+10570005[20190902-]",20191203,2
"+10570005[20190902-]",20191204,2
"+10570005[20190902-]",20191205,2
"+10570005[20190902-]",20191206,2
"+10570005[20190902-]",20191209,2
"+10570005[20190902-]",20191210,2
"+10570005[20190902-]",20191211,2
"+10570005[20190902-]",20191212,2
"+10570005[20190902-]",20191213,2
"+10570005[20190902-]",20191216,2
"+10570005[20190902-]",20191217,2
"+10570005[20190902-]",20191218,2
"+10570005[20190902-]",20191219,2
"+10570005[20190902-]",20191220,2
"+10570005[20190902-]",20191223,2
"+10570005[20190902-]",20191224,2
"+10570005[20190902-]",20191225,2
"+10570005[20190902-]",20191226,2
"+10570005[20190902-]",20191227,2
"+10570005[20190902-]",20191230,2
"+10570005[20190902-]",20191231,2
"+10570005[20190902-]",20200101,2
"+10570005[20190902-]",20200102,2
"+10570005[20190902-]",20200103,2
"+10570005[20190902-]",20200106,2
"+10570005[20190902-]",20200107,2
"+10570005[20190902-]",20200108,2
"+10570005[20190902-]",20200109,2
"+10570005[20190902-]",20200110,2
"+10570005[20190902-]",20200113,2
"+10570005[20190902-]",20200114,2
"+10570005[20190902-]",20200115,2
"+10570005[20190902-]",20200116,2
"+10570005[20190902-]",20200117,2
"+10570005[20190902-]",20200120,2
"+10570005[20190902-]",20200121,2
"+10570005[20190902-]",20200122,2
"+10570005[20190902-]",20200123,2
"+10570005[20190902-]",20200124,2
"+10570005[20190902-]",20200127,2
"+10570005[20190902-]",20200128,2
"+10570005[20190902-]",20200129,2
"+10570005[20190902-]",20200130,2
"+10570005[20190902-]",20200131,2
"+10570005[20190902-]",20200203,2
"+10570005[20190902-]",20200204,2
"+10570005[20190902-]",20200205,2
"+10570005[20190902-]",20200206,2
"+10570005[20190902-]",20200207,2
"+10570005[20190902-]",20200210,2
"+10570005[20190902-]",20200211,2
"+10570005[20190902-]",20200212,2
"+10570005[20190902-]",20200213,2
"+10570005[20190902-]",20200214,2
"+10570005[20190902-]",20200217,2
"+10570005[20190902-]",20200218,2
"+10570005[20190902-]",20200219,2
"+10570005[20190902-]",20200220,2
"+10570005[20190902-]",20200221,2
"+10570005[20190902-]",20200224,2
"+10570005[20190902-]",20200225,2
"+10570005[20190902-]",20200226,2
"+10570005[20190902-]",20200227,2
"+10570005[20190902-]",20200228,2
"+10570005[20190902-]",20200302,2
"+10570005[20190902-]",20200303,2
"+10570005[20190902-]",20200304,2
"+10570005[20190902-]",20200305,2
"+10570005[20190902-]",20200306,2
"+10570005[20190902-]",20200309,2
"+10570005[20190902-]",20200310,2
"+10570005[20190902-]",20200311,2
"+10570005[20190902-]",20200312,2
"+10570005[20190902-]",20200313,2
"+10570005[20190902-]",20200316,2
"+10570005[20190902-]",20200317,2
"+10570005[20190902-]",20200318,2
"+10570005[20190902-]",20200319,2
"+10570005[20190902-]",20200320,2
"+10570005[20190902-]",20200323,2
"+10570005[20190902-]",20200324,2
"+10570005[20190902-]",20200325,2
"+10570005[20190902-]",20200326,2
"+10570005[20190902-]",20200327,2
"+10570005[20190902-]",20200330,2
"+10570005[20190902-]",20200331,2
"+10570005[20190902-]",20200401,2
"+10570005[20190902-]",20200402,2
"+10570005[20190902-]",20200403,2
"+10570005[20190902-]",20200413,2
"+10570005[20190902-]",20200501,2
"+10570005[20190902-]",20200508,2
"+10570005[20190902-]",20200521,2
"+10570005[20190902-]",20200601,2
"+10570011[20190902-]",20191101,1
"+10570011[20190902-]",20191111,1
"+10570011[20190902-]",20191225,1
"+10570011[20190902-]",20200101,1
"+10570011[20190902-]",20200413,1
"+10570011[20190902-]",20200501,1
"+10570011[20190902-]",20200508,1
"+10570011[20190902-]",20200521,1
"+10570011[20190902-]",20200601,1
"+10570013[20190902-]",20191101,2
"+10570013[20190902-]",20191111,2
"+10570013[20190902-]",20191225,2
"+10570013[20190902-]",20200101,2
"+10570013[20190902-]",20200413,2
"+10570013[20190902-]",20200501,2
"+10570013[20190902-]",20200508,2
"+10570013[20190902-]",20200521,2
