stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,ext_id,city_name,direction_id
AST-368-369,,Allée Cavalière,,47.28501005,-2.37176215,,,1,,0,,,LA BAULE,
AST-63-A-63-B,,Athanor,,47.33092377,-2.42575617,,,1,,0,,,GUERANDE,
AST-AVL01-AVL02,,Avenue de L'Isle,,47.25710000,-2.32622995,,,1,,0,,,PORNICHET,
AST-151-A-151-B,,Avenue des Noëlles,,47.29136207,-2.39420077,,,1,,0,,,LA BAULE,
AST-365-366,,Avenue Saint-Georges,,47.27292876,-2.35047375,,,1,,0,,,LA BAULE,
AST-229-A-229-B,,Barrière,,47.28382242,-2.50339639,,,1,,0,,,LE CROISIC,
AST-69-70,,Beauséjour,,47.33760701,-2.42830076,,,1,,0,,,GUERANDE,
AST-261-A-261-B,,Bel Air,,47.27056940,-2.43099225,,,1,,0,,,LE POULIGUEN,
AST-196-A-196-B,,Bellanger,,47.34460981,-2.50803506,,,1,,0,,,LA TURBALLE,
AST-153-A-153-B,,Beslon,,47.29422890,-2.39058500,,,1,,0,,,LA BAULE,
AST-351-A-351-B,,Bougainville,,47.28803070,-2.22280595,,,1,,0,,,SAINT NAZAIRE,
AST-344-A-344-B,,Bouletterie,,47.26401613,-2.25847601,,,1,,0,,,SAINT NAZAIRE,
AST-180,,Boulevard de Bretagne,,47.51880900,-2.29678600,,,1,,0,,,LA ROCHE BERNARD,
AST-85-A,,Boulevard De Gaulle,,47.33136500,-2.43247796,,,1,,0,,,GUERANDE,
AST-124-A-124-B,,Boulevard de la Forêt,,47.28051655,-2.35554135,,,1,,0,,,LA BAULE,
AST-65-66,,Bouton d'Or,,47.32922554,-2.43741203,,,1,,0,,,GUERANDE,
AST-204-A-204-B,,Brandu,,47.36150295,-2.52250443,,,1,,0,,,LA TURBALLE,
AST-61-A-61-B,,Brehany,,47.32313623,-2.41191476,,,1,,0,,,GUERANDE,
AST-102-A-102-B,,Brière,,47.44640377,-2.31628595,,,1,,0,,,HERBIGNAC,
AST-49-50,,Brézéan,,47.35805790,-2.44961315,,,1,,0,,,GUERANDE,
AST-174,,Bôle Eden,,47.28857610,-2.37309240,,,1,,0,,,LA BAULE,
AST-109-A-109-B,,Caillaud,,47.27392512,-2.34249992,,,1,,0,,,LA BAULE,
AST-1-A-1-B,,Caire,,47.43966622,-2.43140979,,,1,,0,,,ASSERAC,
AST-322-A-322-B,,Calvaire,,47.39261500,-2.31503250,,,1,,0,,,SAINT LYPHARD,
AST-90-A-90-B,,Careil,,47.29771461,-2.40566170,,,1,,0,,,GUERANDE,
AST-16-A-16-B,,Casse caillou,,47.27806244,-2.49264533,,,1,,0,,,BATZ/MER,
AST-214-A-214-B,,Castouillet,,47.29986750,-2.53474600,,,1,,0,,,LE CROISIC,
AST-364-A-364-B,,CAT,,47.29616522,-2.42490897,,,1,,0,,,GUERANDE,
AST-177-A-177-B,,Centre,,47.44646642,-2.24310430,,,1,,0,,,LA CHAPELLE DES MARAIS,
AST-33,,Centre (Garnal),,47.27743500,-2.47969900,,,1,,0,,,BATZ/MER,
AST-32,,Centre (Poste),,47.27900100,-2.48090000,,,1,,0,,,BATZ/MER,
AST-146-A-146-B,,Centre Aquatique,,47.28151835,-2.37905295,,,1,,0,,,LA BAULE,
AST-77,,Centre aquatique,,47.32375018,-2.41715111,,,1,,0,,,GUERANDE,
AST-95,,Champ de foire,,47.44913790,-2.31217740,,,1,,0,,,HERBIGNAC,
AST-10905783-10905808,,Chapelle du Crucifix,,47.28372526,-2.50413444,,,1,,0,,,BATZ/MER,
AST-148-A-148-B,,Châteaubriant,,47.28298185,-2.38388120,,,1,,0,,,LA BAULE,
AST-11058153-11058155,,Cimetière,,47.28940450,-2.38459400,,,1,,0,,,,
AST-225,,Cimetière,,47.28948500,-2.51202932,,,1,,0,,,LE CROISIC,
AST-334-A-334-B,,Cimetière,,47.38885297,-2.42659478,,,1,,0,,,SAINT MOLF,
AST-164-A-164-B,,Cité du Rocher,,47.29262335,-2.37677480,,,1,,0,,,LA BAULE,
AST-346-A-346-B,,Cité sanitaire,,47.26595850,-2.25572013,,,1,,0,,,SAINT NAZAIRE,
AST-352-A-352-B,,Cité scolaire,,47.27270412,-2.23245848,,,1,,0,,,SAINT NAZAIRE,
AST-268-A-268-B,,Civanam,,47.27644653,-2.43353540,,,1,,0,,,LE POULIGUEN,
AST-47-48,,Clis,,47.33655425,-2.46607195,,,1,,0,,,GUERANDE,
AST-127-A-127-B,,Clos Colin,,47.29230739,-2.35702586,,,1,,0,,,LA BAULE,
AST-270-271,,Clémenceau,,47.27399134,-2.43165312,,,1,,0,,,LE POULIGUEN,
AST-206-A-206-B,,Coispéan,,47.36530969,-2.46685594,,,1,,0,,,LA TURBALLE,
AST-193-A-193-B,,Colbert,,47.34478705,-2.50506245,,,1,,0,,,LA TURBALLE,
AST-348-349,,Coulvé,,47.29025975,-2.22972340,,,1,,0,,,SAINT NAZAIRE,
AST-359-360,,Croix De Sérot,,47.29829800,-2.43176700,,,1,,0,,,GUERANDE,
AST-118-A-118-B,,Cuy,,47.27790200,-2.34096550,,,1,,0,,,LA BAULE,
AST-25-26,,Dervin,,47.26991665,-2.45980620,,,1,,0,,,BATZ/MER,
AST-24-A-24-B,,Dilane,,47.27110304,-2.47074771,,,1,,0,,,BATZ/MER,
AST-332,,Eglise,,47.39112519,-2.42563932,,,1,,0,,,SAINT MOLF,
AST-94,,Eglise,,47.44921861,-2.31637679,,,1,,0,,,HERBIGNAC,
AST-128,,Escoublac,,47.29343120,-2.35869730,,,1,,0,,,LA BAULE,
AST-129,,Escoublac,,47.29514700,-2.36116520,,,1,,0,,,LA BAULE,
AST-172-173,,Flandin,,47.28882805,-2.37547110,,,1,,0,,,LA BAULE,
AST-372-373,,Foyer,,47.28417455,-2.40298215,,,1,,0,,,LA BAULE,
AST-255-A-255-B,,Franchet d'Esperey,,47.26619610,-2.43710190,,,1,,0,,,LE POULIGUEN,
AST-189-190,,Frégate,,47.35041310,-2.49728665,,,1,,0,,,LA TURBALLE,
AST-313-314,,Gare de Pornichet,,47.26980930,-2.34314280,,,1,,0,,,PORNICHET,
AST-130,,Gare SNCF,,47.28854990,-2.39076170,,,1,,0,,,LA BAULE,
AST-207,,Gare SNCF,,47.29005946,-2.50752032,,,1,,0,,,LE CROISIC,
AST-347-A-347-B,,Gare SNCF,,47.28544100,-2.21224120,,,1,,0,,,SAINT NAZAIRE,
AST-380-381,,Gare SNCF,,47.28210766,-2.43238807,,,1,,0,,,LE POULIGUEN,
AST-11058130,,Gare SNCF Nord,,47.28946917,-2.38953710,,,1,,0,,,,
AST-11058121,,"Gare SNCF Nord ",,47.28953400,-2.38922500,,,1,,0,,,,
AST-199-200,,Garlahy,,47.34917335,-2.51347910,,,1,,0,,,LA TURBALLE,
AST-51-A-51-B,,Gendarmerie,,47.33851276,-2.43355672,,,1,,0,,,GUERANDE,
AST-192-A-192-B,,Grande Douve,,47.34730105,-2.50283805,,,1,,0,,,LA TURBALLE,
AST-259-A-259-B,,Grandes Terres,,47.26775372,-2.43057913,,,1,,0,,,LE POULIGUEN,
AST-227,,Général Leclerc,,47.28684860,-2.51070000,,,1,,0,,,LE CROISIC,
AST-154-155,,Haut Brivin,,47.30039900,-2.38607290,,,1,,0,,,LA BAULE,
AST-342-A-342-B,,Heinlex,,47.26156450,-2.26205100,,,1,,0,,,SAINT NAZAIRE,
AST-223-A-223-B,,Henri Dunant,,47.29180040,-2.51853160,,,1,,0,,,LE CROISIC,
AST-228-A-228-B,,HLM - Provost,,47.28577980,-2.50731040,,,1,,0,,,LE CROISIC,
AST-224-A-224-B,,Hôpital,,47.29064828,-2.51473585,,,1,,0,,,LE CROISIC,
AST-81,,Hôpital,,47.32340564,-2.42492138,,,1,,0,,,GUERANDE,
AST-JPT01-JPT02,,Jacques Prévert,,47.25515005,-2.31817995,,,1,,0,,,PORNICHET,
AST-JMC01-JMC02,,Jean Macé,,47.25365000,-2.31592500,,,1,,0,,,PORNICHET,
AST-17-18,,Ker d'Abas,,47.27599080,-2.48712475,,,1,,0,,,BATZ/MER,
AST-201-202,,Ker Elisabeth,,47.35550920,-2.51839070,,,1,,0,,,LA TURBALLE,
AST-68-A-68-B,,Ker Marie,,47.32768669,-2.44298910,,,1,,0,,,GUERANDE,
AST-71,,Kerbennet,,47.33546500,-2.42802280,,,1,,0,,,GUERANDE,
AST-56-A-56-B,,Kerbiniou,,47.32856590,-2.42067192,,,1,,0,,,GUERANDE,
AST-275-A-275-B,,Kercabellec,,47.40820160,-2.46370650,,,1,,0,,,MESQUER,
AST-278-279,,Kerdandec,,47.41190720,-2.47667670,,,1,,0,,,MESQUER,
AST-303-A-303-B,,Kerdinio,,47.37832054,-2.52816039,,,1,,0,,,PIRIAC / MER,
AST-256-A-256-B,,Kerdun,,47.26467215,-2.43196810,,,1,,0,,,LE POULIGUEN,
AST-288-289,,Kerfalher,,47.46639000,-2.48123700,,,1,,0,,,PENESTIN,
AST-283,,Kergoulinet,,47.39338550,-2.46029430,,,1,,0,,,MESQUER,
AST-324-325,,Kerhinet,,47.36291965,-2.34986250,,,1,,0,,,SAINT LYPHARD,
AST-97-A-97-B,,Kerlibérin,,47.42900883,-2.30873452,,,1,,0,,,HERBIGNAC,
AST-29-A-29-B,,Kermoisan,,47.27850605,-2.45504626,,,1,,0,,,BATZ/MER,
AST-156-A-156-B,,Kerquessaud,,47.30264335,-2.38310635,,,1,,0,,,LA BAULE,
AST-292-A-292-B,,Kerséguin,,47.45205519,-2.46131372,,,1,,0,,,PENESTIN,
AST-11032450-11058174,,Kervabon,,47.35229750,-2.43250500,,,1,,0,,,,
AST-31-A-31-B,,Kervalet,,47.27854312,-2.46349468,,,1,,0,,,BATZ/MER,
AST-305-A-305-B,,Kervin,,47.37267242,-2.52684803,,,1,,0,,,PIRIAC / MER,
AST-335-A-335-B,,Kervolan,,47.37368540,-2.43293945,,,1,,0,,,SAINT MOLF,
AST-220,,Korrigans,,47.29013800,-2.52029930,,,1,,0,,,LE CROISIC,
AST-232-233,,Korrigans,,47.26480170,-2.44272995,,,1,,0,,,LE POULIGUEN,
AST-209,,L'Aiguillon,,47.29488900,-2.51131910,,,1,,0,,,LE CROISIC,
AST-182-A-182-B,,L'Etoile,,47.34429238,-2.48231159,,,1,,0,,,LA TURBALLE,
AST-326-A-326-B,,La Chapelle,,47.40601047,-2.30207394,,,1,,0,,,SAINT LYPHARD,
AST-45-46,,La Croix de Kerbézo,,47.32819895,-2.44672600,,,1,,0,,,GUERANDE,
AST-300-301,,La Croix Kerdinio,,47.37814915,-2.53180935,,,1,,0,,,PIRIAC / MER,
AST-76,,La Gaudinais,,47.32848154,-2.43256109,,,1,,0,,,GUERANDE,
AST-8-A-8-B,,La Govelle,,47.26707275,-2.45380730,,,1,,0,,,BATZ/MER,
AST-125-A-125-B,,La Jo,,47.28828672,-2.35889519,,,1,,0,,,LA BAULE,
AST-87,,La Lande,,47.32521000,-2.40253711,,,1,,0,,,GUERANDE,
AST-10901503-10910679,,La Marjolaine,,47.35251550,-2.51361300,,,1,,0,,,LA TURBALLE,
AST-52-53,,La Nantaise,,47.30583215,-2.40846325,,,1,,0,,,GUERANDE,
AST-149-A-149-B,,La Poste,,47.28605395,-2.38889485,,,1,,0,,,LA BAULE,
AST-379-A-379-R,,La Poste,,47.34757808,-2.50718808,,,1,,0,,,LA TURBALLE,
AST-74,,La Pradonnais,,47.33382580,-2.42362897,,,1,,0,,,GUERANDE,
AST-217,,La Vigie,,47.28916880,-2.53704230,,,1,,0,,,LE CROISIC,
AST-367-A-367-B,,Lajarrige,,47.27844069,-2.37165163,,,1,,0,,,LA BAULE,
AST-329-A-329-B,,Le Brunet,,47.36456207,-2.33310530,,,1,,0,,,SAINT LYPHARD,
AST-LVR01-LVR02,,Le Givre,,47.25025000,-2.31176500,,,1,,0,,,,
AST-298-299,,Le Grain,,47.37796410,-2.54001215,,,1,,0,,,PIRIAC / MER,
AST-38-A-38-B,,Le Guerny,,47.48250819,-2.35429871,,,1,,0,,,FEREL,
AST-115-A-115-B,,Le Guézy,,47.27723600,-2.34087600,,,1,,0,,,LA BAULE,
AST-210,,Le Lenigo,,47.29838605,-2.51579425,,,1,,0,,,LE CROISIC,
AST-75,,Le Léchet,,47.33416764,-2.43245989,,,1,,0,,,GUERANDE,
AST-331-A-331-B,,Le Mouchoir,,47.37501076,-2.32471466,,,1,,0,,,SAINT LYPHARD,
AST-111-A-111-B,,Le Moulin,,47.27361385,-2.33840419,,,1,,0,,,LA BAULE,
AST-187-188,,Le Moulin,,47.35017785,-2.49348645,,,1,,0,,,LA TURBALLE,
AST-198-A-198-B,,Le Port,,47.34682599,-2.51080494,,,1,,0,,,LA TURBALLE,
AST-231-A-231-B,,Le Scall,,47.26344160,-2.44809145,,,1,,0,,,LE POULIGUEN,
AST-86-A-86-B,,Leniphen,,47.28952030,-2.43799260,,,1,,0,,,GUERANDE,
AST-10-A-10-B,,Les Ajoncs,,47.26536240,-2.45221190,,,1,,0,,,BATZ/MER,
AST-237,,Les Mouettes,,47.27438700,-2.43936923,,,1,,0,,,LE POULIGUEN,
AST-272-273,,Les Paludiers,,47.40416790,-2.46114300,,,1,,0,,,MESQUER,
AST-186-A-186-B,,Les Quatres Routes,,47.35269974,-2.48981156,,,1,,0,,,LA TURBALLE,
AST-54-A-54-B,,Les Salines,,47.29188119,-2.39565775,,,1,,0,,,GUERANDE,
AST-80,,Lycée La Mennais,,47.32262091,-2.43129103,,,1,,0,,,GUERANDE,
AST-2-A-2-B,,Mairie,,47.42804210,-2.39197265,,,1,,0,,,ASSERAC,
AST-280-A-280-B,,Mairie,,47.40038200,-2.46140115,,,1,,0,,,MESQUER,
AST-317-A-317-B,,Mairie,,47.39702745,-2.30970346,,,1,,0,,,SAINT LYPHARD,
